Datum;Spelers;Inzet;P-R1;W-R1;P-R2;W-R2;P-R3;W-R3;P-R4;W-R4;P-R5;W-R5;P-R6;W-R6;P-R7;W-R7;P-R8;W-R8;P-R9;W-R9;P-R10;W-R10;P-R11;W-R11;P-R12;W-R12;P-R13;W-R13
2013-04-19;673492;4666176,00;0;0,00;0;192916,40;0;51444,30;3;4946,50;43;316,90;83;160,80;128;75,50;2531;19,70;2502;19,30;5079;16,60;16062;9,00;44592;9,10;87442;4,80
2013-04-16;388795;2481598,00;0;15000000,00;0;124935,10;2;6663,20;5;1830,50;96;103,30;169;40,20;149;44,50;1767;16,20;2199;12,20;4703;9,30;9016;8,80;27775;7,70;58953;3,70
2013-04-12;719347;5040814,00;0;26258943,00;0;120631,50;0;37529,80;5;2181,90;100;123,60;226;64,80;294;36,00;3654;14,00;4651;10,10;8461;9,50;18886;8,00;59007;6,80;107823;3,90
2013-04-09;395679;2544532,00;0;0,00;0;346885,50;1;86721,30;2;4033,50;44;240,80;39;126,00;89;72,10;1305;22,90;1542;16,90;3099;14,40;7205;12,50;24155;8,90;48199;4,60
2013-04-05;696905;4905300,00;2;13269447,00;0;432708,40;1;52449,50;8;4062,90;87;225,90;133;125,30;311;47,40;4483;14,40;4074;13,90;7345;13,10;22953;7,60;60447;7,30;105070;4,20
2013-04-02;358403;2349846,00;0;0,00;0;520893,40;0;34726,20;0;4234,90;37;190,30;79;90,40;84;60,20;1424;20,40;1865;13,70;3994;10,80;6731;11,40;27296;7,80;56127;3,80
2013-03-29;1077866;8677518,00;0;132486744,00;0;571697,20;0;105869,80;7;4764,10;120;247,30;302;130,50;420;60,10;6217;17,40;5830;16,00;11250;14,20;34952;8,40;93195;8,20;169881;4,50
2013-03-26;659010;5276430,00;0;0,00;0;1007262,40;0;61046,20;1;5246,10;91;218,70;154;104,90;152;75,20;2167;24,70;3344;16,30;7766;12,40;12301;13,10;51006;8,90;114987;4,00
2013-03-22;1241014;10676836,00;0;0,00;1;500583,50;0;62572,90;10;5753,80;209;211,40;299;123,00;374;71,50;5718;21,60;9311;14,10;17130;12,90;28999;11,50;129946;7,70;239608;4,20
2013-03-19;398594;2578808,00;0;0,00;0;522853,60;0;49795,50;2;3556,80;33;253,70;73;122,40;116;57,80;1932;16,80;1867;16,70;4267;13,50;9195;9,10;26386;9,00;57082;4,40
2013-03-15;681087;4746940,00;0;0,00;0;388993,10;3;39896,70;11;4116,30;78;167,00;225;69,50;170;65,90;2336;21,90;3813;13,30;9136;9,60;12160;12,10;51287;8,00;115098;3,60
2013-03-12;351970;2273886,00;0;15000000,00;1;196291,60;0;36350,20;6;2478,40;73;138,40;119;68,20;152;34,20;2117;12,40;2269;10,50;4264;9,50;10789;7,20;30017;6,60;52119;3,70
2013-03-08;725963;5193518,00;0;51689985,00;0;580343,20;0;116068,60;0;5921,80;88;229,10;190;100,10;143;76,20;2477;24,30;3836;15,00;8852;10,90;12323;13,30;58340;8,20;131702;3,60
2013-03-05;412017;2724388,00;0;0,00;2;157601,50;0;91934,20;4;3404,90;65;204,60;109;106,90;168;49,50;2278;15,40;2425;13,90;4696;12,40;11536;8,10;34073;7,50;61935;4,20
2013-03-01;705379;4968994,00;0;0,00;0;543386,60;0;67923,30;8;5660,20;104;215,90;153;120,90;210;66,40;2746;20,30;3815;14,60;6607;13,70;15489;10,40;58902;7,50;99680;4,40
2013-02-26;389197;2532468,00;0;0,00;0;1029096,80;0;31184,70;6;2117,40;52;144,00;114;70,80;144;37,30;2437;12,90;2322;10,90;4725;9,10;11219;7,80;33617;6,70;66041;3,40
2013-02-22;660578;4602826,00;0;0,00;0;512860,70;1;56984,50;5;7770,60;76;262,70;161;115,30;114;87,00;1831;26,70;3153;17,40;7175;12,90;10037;14,20;45796;9,00;101356;4,10
2013-02-19;437317;2991428,00;0;60298933,00;0;137805,70;0;29529,70;6;4053,10;83;146,00;111;85,00;100;63,60;1641;20,40;2854;11,30;4971;11,00;8376;11,30;38248;6,90;67033;3,90
2013-02-15;703950;5060138,00;0;0,00;0;353661,10;3;45341,10;6;3135,20;104;176,00;197;97,00;326;44,90;4347;14,40;5062;12,30;9345;10,90;20184;8,30;61534;7,30;121440;3,90
2013-02-12;409059;2724548,00;0;0,00;0;73256,40;1;26163,00;3;2057,70;74;114,10;133;65,00;185;38,50;2136;14,20;2795;9,90;5111;9,30;9622;8,50;34803;6,40;64850;3,60
2013-02-08;690819;4862004,00;0;0,00;0;548441,10;0;49858,20;0;8845,80;54;250,40;208;84,10;179;79,50;2242;25,60;2681;18,20;9101;9,50;11415;13,80;38980;10,40;130364;3,30
2013-02-05;390061;2530804,00;0;0,00;1;347370,70;0;173685,30;1;5602,70;41;239,70;51;138,40;75;66,70;1359;20,80;1572;16,00;2807;15,30;7326;10,70;24534;8,20;44859;4,70
2013-02-01;663468;4628252,00;0;0,00;1;392178,90;0;104581,00;7;4841,70;55;248,10;118;114,60;176;65,70;2765;20,80;3009;16,50;6511;12,50;15573;10,50;45938;9,00;101510;4,20
2013-01-29;358973;2312974,00;1;7500000,00;1;100024,60;0;55569,20;1;2165,00;50;168,20;84;96,00;101;43,30;1671;15,80;1869;13,70;3363;12,60;9198;8,40;24541;8,20;45980;4,30
2013-01-25;679964;4845328,00;0;44297359,00;0;1698397,00;0;94355,30;3;4493,10;99;202,50;195;103,50;243;54,90;3320;17,50;4352;13,70;7763;12,00;16938;9,50;57836;7,60;107372;4,00
2013-01-22;380041;2488718,00;0;0,00;0;538245,60;0;71766,00;1;5436,80;49;248,00;84;139,90;76;78,50;1188;22,30;1380;17,50;2780;14,90;6724;11,70;23249;8,80;47873;4,40
2013-01-18;663690;4661596,00;0;0,00;0;404928,80;0;107981,00;1;6427,40;60;243,00;141;110,00;143;74,60;2078;24,20;3040;15,90;6691;12,20;10854;13,00;46693;8,50;105159;3,90
2013-01-15;361352;2324796,00;0;0,00;0;1041435,20;0;43393,10;1;5424,10;25;275,60;64;124,30;58;87,20;1000;26,50;1304;19,70;3267;13,20;5455;13,30;19162;10,70;49994;4,30
2013-01-11;704825;4974876,00;0;34191508,00;0;351169,50;1;73160,30;8;3704,30;114;204,60;173;112,50;301;46,20;3859;14,70;4435;14,20;8164;13,00;19904;7,80;57268;7,80;103849;4,40
2013-01-08;404680;2646920,00;0;0,00;0;374292,70;0;37429,20;0;4564,50;47;232,20;89;129,80;105;53,20;1772;15,70;1911;14,60;3513;13,50;10827;8,00;29094;7,70;51057;4,40
2013-01-04;668130;4699776,00;0;0,00;0;410158,60;1;36458,50;4;5258,40;76;185,10;149;81,40;114;80,80;1993;25,30;3195;14,10;7452;10,00;10090;14,00;46665;8,20;109825;3,50
2013-01-01;406632;2824714,00;0;12677536,00;0;849669,70;0;62938,50;2;5664,40;45;248,80;80;109,80;71;68,30;1391;21,30;1843;16,70;4330;12,10;7393;11,50;26121;9,00;68164;3,90
